disease,num_targets,avg_score,top_protein
Pain,1,0.191,O60285
pancreatic carcinoma,1,0.184,Q16512
Meckel syndrome,1,0.259,Q96L34
major depressive episode,1,0.31,Q96RR4
vertebral column disorder,1,0.199,O60285
Proptosis,1,0.165,Q9Y6M4
viral eye infection,1,0.3,O60285
ureterolithiasis,1,0.213,Q16512
synovium disorder,1,0.311,O60285
Hermansky-Pudlak syndrome,1,0.149,Q96L34
Proteus syndrome,1,0.76,P31749
head injury,1,0.112,Q96L34
Tendinopathy,1,0.311,O60285
malnutrition,1,0.049,Q9UBS0
sunburn,1,0.204,Q9UBS0
cutaneous squamous cell carcinoma,1,0.41,P30291
nasopharyngeal neoplasm,1,0.619,Q04912
childhood onset asthma,1,0.463,Q04759
myelodysplastic/myeloproliferative disease,1,0.552,P00519
"autoinflammation, immune dysregulation, and eosinophilia",1,0.685,P23458
non-alcoholic steatohepatitis,1,0.191,Q99683
"hearing loss, autosomal dominant 87",1,0.474,Q9UBF8
Umbilical hernia,1,0.387,P29323
Spasticity - intellectual disability - X-linked epilepsy,1,0.333,P49674
Epidermal Inclusion Cyst,1,0.388,P27361
infantile epileptic-dyskinetic encephalopathy,1,0.333,P49674
bone development disease,1,0.573,P22455
cholangiocarcinoma,1,0.573,P22455
"developmental and epileptic encephalopathy, 1",1,0.333,P49674
diabetic nephropathy,1,0.124,Q99683
urothelial carcinoma,1,0.584,P22455
experimental autoimmune encephalomyelitis,1,0.095,Q99683
rhabdomyosarcoma,1,0.595,P22455
Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,1,0.83,P42345
squamous cell carcinoma,1,0.406,P30291
GIST-plus syndrome,1,0.74,P16234
autoinflammation with pulmonary and cutaneous vasculitis,1,0.4,P08631
isolated focal cortical dysplasia type II,1,0.823,P42345
congenital heart defects and skeletal malformations syndrome,1,0.805,P00519
CEBALID syndrome,1,0.524,P42345
Noonan syndrome with multiple lentigines,1,0.666,P04049
LEOPARD syndrome 2,1,0.71,P04049
aceruloplasminemia,1,0.041,P49759
Noonan syndrome 5,1,0.763,P04049
Myocardial Ischemia,1,0.256,Q9BUB5
foot fracture,1,0.076,P49759
dermatofibrosarcoma protuberans,1,0.562,P00519
Hypereosinophilic syndrome,1,0.558,P00519
Arthrogryposis - renal dysfunction - cholestasis,1,0.333,P41240
lymphatic system disease,1,0.294,P41279
male infertility,1,0.233,Q99683
seborrheic keratosis,1,0.731,P42336
CLOVES syndrome,1,0.789,P42336
Venous malformation,1,0.504,Q02763
skin disease,1,0.327,P30291
Abnormal cardiovascular system morphology,1,0.512,Q02763
vascular malformation,1,0.528,Q02763
congenital glaucoma,1,0.727,Q02763
Mucocutaneous venous malformations,1,0.762,Q02763
multiple cutaneous and mucosal venous malformations,1,0.806,Q02763
PIK3CA-related overgrowth spectrum,1,0.767,P42336
Cowden syndrome 5,1,0.754,P42336
skin cancer,1,0.326,P30291
marginal zone B-cell lymphoma,1,0.463,P49674
melorheostosis,1,0.724,Q02750
cardiofaciocutaneous syndrome 3,1,0.813,Q02750
eye color,1,0.318,P52564
bilateral striopallidodentate calcinosis,1,0.782,P09619
anthrax infection,1,0.37,P52564
medical procedure,1,0.375,P52564
total hip arthroplasty,1,0.398,P52564
alopecia,1,0.185,P51813
Graves disease,1,0.374,P43403
pik3ca related overgrowth spectrum,1,0.75,P42336
Combined T and B cell immunodeficiency,1,0.463,P43403
infantile spasms,1,0.333,P49674
sarcoidosis,1,0.476,P43403
"autoimmune disease, multisystem, infantile-onset, 2",1,0.529,P43403
combined immunodeficiency due to ZAP70 deficiency,1,0.807,P43403
Seckel syndrome,1,0.728,O00444
Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis,1,0.813,P21802
Basal ganglia calcification,1,0.782,P09619
Diamond-Blackfan anemia,1,0.085,Q9UBE8
Arthropathy,1,0.064,O43741
spondylolisthesis,1,0.076,O43741
Behcet's syndrome,1,0.421,Q00534
activated PI3K-delta syndrome,1,0.76,O00329
"immunodeficiency 14b, autosomal recessive",1,0.689,O00329
Poirier-Bienvenu neurodevelopmental syndrome,1,0.793,P67870
Hernia,1,0.214,Q14164
Leber congenital amaurosis,1,0.381,Q12866
retinopathy,1,0.381,Q12866
Posterior column ataxia - retinitis pigmentosa,1,0.407,Q12866
combined immunodeficiency with faciooculoskeletal anomalies,1,0.615,O00329
Combined immunodeficiency with facio-oculo-skeletal anomalies,1,0.615,O00329
autosomal recessive retinitis pigmentosa,1,0.523,Q12866
immunodeficiency 72 with autoinflammation,1,0.558,P48736
"neuropathy, hereditary motor and sensory, type 6A",1,0.261,Q9UBE8
platelet-type bleeding disorder 19,1,0.524,P22612
immunodeficiency 97 with autoinflammation,1,0.533,P48736
adrenocortical insufficiency,1,0.092,Q96RG2
severe combined immunodeficiency due to DNA-PKcs deficiency,1,0.727,P78527
primary thrombocytopenia,1,0.246,P78527
preeclampsia,1,0.169,Q96RG2
albuminuria,1,0.338,P29376
plasma fibronectin deficiency,1,0.059,P29376
cornea transplantation,1,0.261,Q96RG2
congenital heart defects and ectodermal dysplasia,1,0.707,Q15139
pyruvate dehydrogenase deficiency,1,0.26,Q15118
lactic acidosis,1,0.279,Q15118
brain cancer,1,0.312,Q15118
Pituitary Gland Adenoma,1,0.069,Q15078
severe malarial anemia,1,0.075,Q15078
"melanoma, cutaneous malignant, susceptibility to, 3",1,0.714,P11802
abscess,1,0.216,Q9BWU1
Erythema nodosum,1,0.321,Q14289
familial lipoprotein lipase deficiency,1,0.23,Q9UGI9
microcephaly and chorioretinopathy 1,1,0.37,O00444
respiratory system neoplasm,1,0.268,O43781
Dravet syndrome,1,0.085,O00418
Hypercholesterolemia,1,0.311,Q9Y478
Rare familial disorder with hypertrophic cardiomyopathy,1,0.538,Q9UGJ0
familial dilated cardiomyopathy,1,0.565,Q9UGJ0
Wolff-Parkinson-White Syndrome,1,0.751,Q9UGJ0
lethal congenital glycogen storage disease of heart,1,0.786,Q9UGJ0
hypertrophic cardiomyopathy 6,1,0.797,Q9UGJ0
Hernia of the abdominal wall,1,0.349,P53667
diverticular disease,1,0.319,P53667
Phlebitis,1,0.056,Q9UGI9
Thrombophlebitis,1,0.06,Q9UGI9
Increased muscle glycogen content,1,0.172,Q9UGI9
coronary artery bypass,1,0.124,P54646
megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1,1,0.462,Q9Y243
chronic primary adrenal insufficiency,1,0.15,P54619
hemorrhoid,1,0.31,P53667
Venous thrombosis,1,0.31,P53667
hypertensive heart disease,1,0.161,P54619
lupus erythematosus,1,0.159,P53667
isolated asymptomatic elevation of creatine phosphokinase,1,0.064,P22694
infantile-onset mesial temporal lobe epilepsy with severe cognitive regression,1,0.37,Q07912
cardioacrofacial dysplasia 2,1,0.749,P22694
Abnormal nasolacrimal system morphology,1,0.312,Q07912
"developmental and epileptic encephalopathy, 87",1,0.79,Q9BWU1
self-injurious ideation,1,0.238,Q9BWU1
familial hemolytic anemia,1,0.032,P22612
nephrotic syndrome,1,0.033,P22612
bronchial disease,1,0.228,Q9BWU1
intellectual developmental disorder with hypotonia and behavioral abnormalities,1,0.787,P49336
Abnormal heart morphology,1,0.34,P49336
"myofibromatosis, infantile, 1",1,0.779,P09619
thanatophoric dysplasia type 1,1,0.818,P22607
Pulmonary Infarction,1,0.424,P34947
cor pulmonale,1,0.427,P34947
Thromboembolism,1,0.427,P34947
choriocarcinoma,1,0.074,Q9P289
deep vein thrombosis,1,0.431,P34947
pulmonary embolism,1,0.466,P34947
venous thromboembolism,1,0.539,P34947
childhood acute myeloid leukemia,1,0.388,P30530
myeloid leukemia,1,0.443,P30530
Crouzon syndrome - acanthosis nigricans,1,0.757,P22607
thanatophoric dysplasia type 2,1,0.788,P22607
Crouzon syndrome-acanthosis nigricans syndrome,1,0.79,P22607
hypochondroplasia,1,0.801,P22607
Muenke syndrome,1,0.804,P22607
