disease,num_targets,avg_score
motor neuron disease,1,0.368
cataract,1,0.199
Hermansky-Pudlak syndrome 8,1,0.497
brain malformation renal syndrome,1,0.362
listeriosis,1,0.567
hereditary papillary renal cell carcinoma,1,0.767
breast disease,1,0.228
fibroblastic disorder,1,0.205
papillary renal cell carcinoma,1,0.842
smoking cessation,1,0.118
hereditary spastic paraplegia 3A,1,0.179
burn,1,0.222
Pain,1,0.191
pancreatic carcinoma,1,0.184
Meckel syndrome,1,0.259
major depressive episode,1,0.31
vertebral column disorder,1,0.199
Proptosis,1,0.165
viral eye infection,1,0.3
ureterolithiasis,1,0.213
synovium disorder,1,0.311
Hermansky-Pudlak syndrome,1,0.149
Proteus syndrome,1,0.76
head injury,1,0.112
Tendinopathy,1,0.311
malnutrition,1,0.049
sunburn,1,0.204
cutaneous squamous cell carcinoma,1,0.41
nasopharyngeal neoplasm,1,0.619
childhood onset asthma,1,0.463
myelodysplastic/myeloproliferative disease,1,0.552
"autoinflammation, immune dysregulation, and eosinophilia",1,0.685
non-alcoholic steatohepatitis,1,0.191
"hearing loss, autosomal dominant 87",1,0.474
Umbilical hernia,1,0.387
Spasticity - intellectual disability - X-linked epilepsy,1,0.333
Epidermal Inclusion Cyst,1,0.388
infantile epileptic-dyskinetic encephalopathy,1,0.333
bone development disease,1,0.573
cholangiocarcinoma,1,0.573
"developmental and epileptic encephalopathy, 1",1,0.333
diabetic nephropathy,1,0.124
urothelial carcinoma,1,0.584
experimental autoimmune encephalomyelitis,1,0.095
rhabdomyosarcoma,1,0.595
Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,1,0.83
squamous cell carcinoma,1,0.406
GIST-plus syndrome,1,0.74
autoinflammation with pulmonary and cutaneous vasculitis,1,0.4
isolated focal cortical dysplasia type II,1,0.823
congenital heart defects and skeletal malformations syndrome,1,0.805
CEBALID syndrome,1,0.524
Noonan syndrome with multiple lentigines,1,0.666
LEOPARD syndrome 2,1,0.71
aceruloplasminemia,1,0.041
Noonan syndrome 5,1,0.763
Myocardial Ischemia,1,0.256
foot fracture,1,0.076
dermatofibrosarcoma protuberans,1,0.562
Hypereosinophilic syndrome,1,0.558
Arthrogryposis - renal dysfunction - cholestasis,1,0.333
lymphatic system disease,1,0.294
male infertility,1,0.233
seborrheic keratosis,1,0.731
CLOVES syndrome,1,0.789
Venous malformation,1,0.504
skin disease,1,0.327
Abnormal cardiovascular system morphology,1,0.512
vascular malformation,1,0.528
congenital glaucoma,1,0.727
Mucocutaneous venous malformations,1,0.762
multiple cutaneous and mucosal venous malformations,1,0.806
PIK3CA-related overgrowth spectrum,1,0.767
Cowden syndrome 5,1,0.754
skin cancer,1,0.326
marginal zone B-cell lymphoma,1,0.463
melorheostosis,1,0.724
cardiofaciocutaneous syndrome 3,1,0.813
eye color,1,0.318
bilateral striopallidodentate calcinosis,1,0.782
anthrax infection,1,0.37
medical procedure,1,0.375
total hip arthroplasty,1,0.398
alopecia,1,0.185
Graves disease,1,0.374
pik3ca related overgrowth spectrum,1,0.75
Combined T and B cell immunodeficiency,1,0.463
infantile spasms,1,0.333
sarcoidosis,1,0.476
"autoimmune disease, multisystem, infantile-onset, 2",1,0.529
combined immunodeficiency due to ZAP70 deficiency,1,0.807
Seckel syndrome,1,0.728
Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis,1,0.813
Basal ganglia calcification,1,0.782
Diamond-Blackfan anemia,1,0.085
Arthropathy,1,0.064
spondylolisthesis,1,0.076
Behcet's syndrome,1,0.421
activated PI3K-delta syndrome,1,0.76
"immunodeficiency 14b, autosomal recessive",1,0.689
Poirier-Bienvenu neurodevelopmental syndrome,1,0.793
Hernia,1,0.214
Leber congenital amaurosis,1,0.381
retinopathy,1,0.381
Posterior column ataxia - retinitis pigmentosa,1,0.407
combined immunodeficiency with faciooculoskeletal anomalies,1,0.615
Combined immunodeficiency with facio-oculo-skeletal anomalies,1,0.615
autosomal recessive retinitis pigmentosa,1,0.523
immunodeficiency 72 with autoinflammation,1,0.558
"neuropathy, hereditary motor and sensory, type 6A",1,0.261
platelet-type bleeding disorder 19,1,0.524
immunodeficiency 97 with autoinflammation,1,0.533
adrenocortical insufficiency,1,0.092
severe combined immunodeficiency due to DNA-PKcs deficiency,1,0.727
primary thrombocytopenia,1,0.246
preeclampsia,1,0.169
albuminuria,1,0.338
plasma fibronectin deficiency,1,0.059
cornea transplantation,1,0.261
congenital heart defects and ectodermal dysplasia,1,0.707
pyruvate dehydrogenase deficiency,1,0.26
lactic acidosis,1,0.279
brain cancer,1,0.312
Pituitary Gland Adenoma,1,0.069
severe malarial anemia,1,0.075
"melanoma, cutaneous malignant, susceptibility to, 3",1,0.714
abscess,1,0.216
Erythema nodosum,1,0.321
familial lipoprotein lipase deficiency,1,0.23
microcephaly and chorioretinopathy 1,1,0.37
respiratory system neoplasm,1,0.268
Dravet syndrome,1,0.085
Hypercholesterolemia,1,0.311
Rare familial disorder with hypertrophic cardiomyopathy,1,0.538
familial dilated cardiomyopathy,1,0.565
Wolff-Parkinson-White Syndrome,1,0.751
lethal congenital glycogen storage disease of heart,1,0.786
hypertrophic cardiomyopathy 6,1,0.797
Hernia of the abdominal wall,1,0.349
diverticular disease,1,0.319
Phlebitis,1,0.056
Thrombophlebitis,1,0.06
Increased muscle glycogen content,1,0.172
coronary artery bypass,1,0.124
megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1,1,0.462
chronic primary adrenal insufficiency,1,0.15
hemorrhoid,1,0.31
Venous thrombosis,1,0.31
hypertensive heart disease,1,0.161
lupus erythematosus,1,0.159
isolated asymptomatic elevation of creatine phosphokinase,1,0.064
infantile-onset mesial temporal lobe epilepsy with severe cognitive regression,1,0.37
cardioacrofacial dysplasia 2,1,0.749
Abnormal nasolacrimal system morphology,1,0.312
"developmental and epileptic encephalopathy, 87",1,0.79
self-injurious ideation,1,0.238
familial hemolytic anemia,1,0.032
nephrotic syndrome,1,0.033
bronchial disease,1,0.228
intellectual developmental disorder with hypotonia and behavioral abnormalities,1,0.787
Abnormal heart morphology,1,0.34
"myofibromatosis, infantile, 1",1,0.779
thanatophoric dysplasia type 1,1,0.818
Pulmonary Infarction,1,0.424
cor pulmonale,1,0.427
Thromboembolism,1,0.427
choriocarcinoma,1,0.074
deep vein thrombosis,1,0.431
pulmonary embolism,1,0.466
venous thromboembolism,1,0.539
childhood acute myeloid leukemia,1,0.388
myeloid leukemia,1,0.443
Crouzon syndrome - acanthosis nigricans,1,0.757
thanatophoric dysplasia type 2,1,0.788
Crouzon syndrome-acanthosis nigricans syndrome,1,0.79
hypochondroplasia,1,0.801
Muenke syndrome,1,0.804
Severe achondroplasia - developmental delay - acanthosis nigricans,1,0.823
hemangioblastoma,1,0.37
"thyroid hormone metabolism, abnormal, 2",1,0.052
achondroplasia,1,0.827
sitosterolemia 2,1,0.049
LADD syndrome 1,1,0.78
bent bone dysplasia syndrome 1,1,0.792
Lacrimoauriculodentodigital syndrome,1,0.797
Primary microcephaly,1,0.371
homozygous familial hypercholesterolemia,1,0.047
Beare-Stevenson cutis gyrata syndrome,1,0.824
Apert syndrome,1,0.836
Crouzon syndrome,1,0.864
