SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
N#Cc1ccc(C2CCCc3cncn32)cc1,223.28,2.68,41.61,0.0,3.0,1.0,0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,348.36,2.08,81.42,1.0,6.0,1.0,0
CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,510.63,4.69,88.54,1.0,6.0,12.0,0
COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O,482.44,2.36,155.14,5.0,10.0,4.0,0
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,286.42,4.09,34.14,0.0,2.0,0.0,0
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,316.35,3.6,57.15,1.0,5.0,6.0,0
COc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,285.3,2.3,68.53,1.0,4.0,4.0,0
CNC(=O)ON(C(C)=O)C(=O)NC,189.17,-0.55,87.74,2.0,4.0,0.0,0
CC[N+](CC)(CC)CC,130.25,1.88,0.0,0.0,0.0,4.0,0
CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21,408.46,3.74,77.56,2.0,3.0,3.0,0
CC(=O)Nc1cccc(O)c1,151.16,1.35,49.33,2.0,2.0,1.0,0
COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,301.33,3.03,84.08,2.0,5.0,3.0,0
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,338.99,6.49,0.0,0.0,0.0,13.0,0
CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21,338.48,0.86,106.33,2.0,6.0,4.0,0
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,243.39,4.33,3.24,0.0,1.0,2.0,0
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,305.16,3.78,41.46,1.0,2.0,1.0,0
