SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,513.65,2.15,107.55,1.0,9.0,5.0,0
CCC(CC)C(c1ccc(Nc2nc3ccccc3s2)cc1)n1cncn1,377.52,5.66,55.63,1.0,6.0,7.0,0
Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,163.17,-2.97,92.95,5.0,5.0,1.0,0
Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,321.34,2.0,121.67,2.0,8.0,3.0,0
CCCCCCc1ccc(O)cc1O,194.27,3.22,40.46,2.0,2.0,5.0,0
CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,369.42,1.99,65.07,0.0,6.0,2.0,0
NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,295.3,4.17,35.25,1.0,2.0,5.0,0
O=C(O)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,409.56,4.66,49.33,2.0,2.0,3.0,0
Cc1c(CCO)sc[n+]1CCCCCCCCCCCC[n+]1csc(CCO)c1C.[Br-].[Br-],454.75,4.67,48.22,2.0,4.0,17.0,0
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,525.57,4.63,99.06,2.0,5.0,9.0,0
CCC(CC)[C@@H](CO)NS(=O)(=O)c1ccc(Cl)s1,311.86,2.48,66.4,2.0,4.0,7.0,0
CCCCCCCCCCCCCCCC(=O)NCCCC[C@@H](N)C(=O)NCCCNCCCCNCCCN,568.94,4.9,134.3,6.0,6.0,32.0,0
C[C@@H](S[C@H]1CO[C@H](/C=C/C=C/c2ccc(C#N)cc2F)OC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,542.58,4.59,93.19,1.0,8.0,9.0,0
COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1,279.34,3.71,38.25,0.0,4.0,3.0,0
CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,194.18,-3.18,110.38,5.0,6.0,1.0,0
CCOC(=O)OC[C@H]1O[C@@H](Oc2ccccc2Cc2ccc(OC)cc2)[C@H](O)[C@@H](O)[C@@H]1O,448.47,1.65,123.91,3.0,9.0,8.0,0
COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC,274.32,1.56,96.28,2.0,6.0,4.0,0
c1cncc(N2CCC3(CCCN3)C2)c1,203.29,1.41,28.16,1.0,3.0,1.0,0
CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3,905.04,4.28,240.11,4.0,17.0,9.0,0
CO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,346.34,-2.92,187.22,7.0,7.0,7.0,0
C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,394.31,3.83,56.33,2.0,3.0,2.0,0
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],316.14,-1.19,209.48,0.0,12.0,12.0,0
O=[N+]([O-])OCC(CO)(CO[N+](=O)[O-])CO[N+](=O)[O-],271.14,-1.41,177.34,1.0,10.0,10.0,0
CCCCCCCC/C=C\CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,433.61,6.23,58.59,0.0,4.0,21.0,0
N[C@@H](Cc1ccccn1)c1ccccc1,198.27,2.32,38.91,1.0,2.0,3.0,0
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,513.5,0.73,196.84,6.0,11.0,3.0,0
COC(=O)c1cc(OC)c2c(c1-c1c(CO)cc(OC)c3c1OCO3)OCO2,390.34,2.11,101.91,1.0,9.0,5.0,0
C=C1CC[C@@H]2[C@](C)(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CCC[C@@]2(C)[C@@H]1CCC1=CCOC1=O,480.6,1.85,125.68,4.0,8.0,7.0,0
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4C(=O)C[C@]3(C)[C@H]1[C@@H]2C,754.91,0.62,214.06,7.0,14.0,6.0,0
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,624.59,-1.02,245.29,9.0,15.0,10.0,0
COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C,323.39,3.84,42.68,0.0,4.0,4.0,0
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,606.72,6.87,61.86,0.0,8.0,2.0,0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,460.52,1.97,138.2,3.0,7.0,6.0,0
CC12CCC(CC1)C(C)(C)O2,154.25,2.74,9.23,0.0,1.0,0.0,0
CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,976.97,-5.23,391.2,14.0,24.0,18.0,0
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,595.53,-0.77,250.52,10.0,14.0,6.0,0
COC(=O)c1cncn1C(C)c1ccccc1,230.27,2.28,44.12,0.0,4.0,3.0,0
C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,584.67,4.53,164.38,6.0,4.0,12.0,0
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,335.34,2.35,118.41,2.0,5.0,5.0,0
COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,383.41,3.93,74.43,0.0,7.0,5.0,0
Cc1nc(C)c(Cl)c(O)c1Cl,192.04,2.71,33.12,1.0,2.0,0.0,0
COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,435.48,1.27,132.5,2.0,10.0,6.0,0
CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O,262.31,1.5,75.27,2.0,3.0,2.0,0
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,303.16,1.68,75.27,2.0,3.0,4.0,0
COc1cc(NCCCC(C)N)c2ncccc2c1,259.35,2.78,60.17,2.0,4.0,6.0,0
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,180.16,-3.83,121.38,6.0,6.0,0.0,0
Cl.N#Cc1ccc(C2CCCc3cncn32)cc1,223.28,2.68,41.61,0.0,3.0,1.0,0
COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,454.66,6.2,24.5,1.0,3.0,8.0,0
O=C(O)CF,78.04,0.04,37.3,1.0,1.0,1.0,0
Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,431.46,4.58,47.36,0.0,5.0,6.0,0
CCCCCCCCN1CCc2c(C)c(CC(=O)O)c(C)c(NC(=O)C(C)(C)C)c21.CCCCCCCCN1CCc2c(C)c(CC(=O)O)c(C)c(NC(=O)C(C)(C)C)c21.O=S(=O)(O)O,416.61,5.64,69.64,2.0,3.0,10.0,0
CCCCCCCCN1CCc2c(C)c(CC(=O)O)c(C)c(NC(=O)C(C)(C)C)c21,416.61,5.64,69.64,2.0,3.0,10.0,0
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,521.67,3.56,102.93,2.0,8.0,7.0,0
CSc1ccc(Oc2ccc(S(N)(=O)=O)cc2CN(C)C)cc1,352.48,2.91,72.63,1.0,5.0,6.0,0
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc(I)cc1)C(=O)O)C(=O)O,535.34,1.62,165.06,6.0,5.0,14.0,0
O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,381.44,2.07,110.96,4.0,5.0,5.0,0
Nc1ccccc1C(=O)C[C@H](N)C(=O)O,208.22,0.25,106.41,3.0,4.0,4.0,0
C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,244.3,1.26,83.8,3.0,3.0,2.0,0
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc([123I])cc1)C(=O)O)C(=O)O,535.34,1.62,165.06,6.0,5.0,14.0,0
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc([123I])cc1)C(=O)O)C(=O)O,564.33,1.65,194.16,7.0,5.0,13.0,0
CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,392.44,2.54,94.04,3.0,5.0,2.0,0
Cc1ccc(CN2CCC(C3(c4ccccc4)CCC(=O)NC3=O)CC2)cc1,376.5,3.58,49.41,1.0,3.0,4.0,0
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(I)cc1)C(=O)O)C(=O)O,564.33,1.65,194.16,7.0,5.0,13.0,0
COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,318.77,2.13,91.74,1.0,7.0,3.0,0
CC(=O)NCCOC(=O)C(Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,415.8,4.16,64.63,1.0,4.0,7.0,0
Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O,260.22,-1.57,104.55,3.0,6.0,2.0,0
Nc1nc(N)c2ncn([C@H]3CO[C@@H](CO)O3)c2n1,252.23,-1.15,134.33,3.0,9.0,2.0,0
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,843.06,2.33,195.38,4.0,16.0,11.0,0
O=c1c2c(c1=O)N(CCP(=O)(O)O)CCCN2,260.19,-0.92,106.94,3.0,5.0,3.0,0
C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@]3(C)CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.[Na+],406.61,4.87,77.76,3.0,3.0,4.0,0
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@@H]1[C@@]3(C)CC[C@@H](O)C[C@H]3C[C@@H](O)[C@@]21C.[Na+],422.61,3.84,97.99,4.0,4.0,4.0,0
CO[C@@H]1C[C@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)N(C(=O)Nc2ccc(Cl)cc2)C1,484.92,3.89,92.67,2.0,5.0,5.0,0
O=C1/C(=C/c2cccs2)CCC/C1=C\c1cccs1,286.42,5.03,17.07,0.0,3.0,2.0,0
CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,401.47,2.85,73.02,0.0,6.0,6.0,0
[11CH3]Oc1ccc(-c2c(C#N)c(C(=O)NN3CCCCC3)nn2-c2ccc(Cl)cc2Cl)cc1,470.36,4.86,83.18,1.0,6.0,5.0,0
C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)c1cc2c(C(=O)C(=O)N(C)C)cn(C)c2cc1Cl,513.01,3.98,65.86,0.0,5.0,5.0,0
FC(F)(F)COCC(F)(F)F,182.06,2.13,9.23,0.0,1.0,2.0,0
COc1ccc(-c2c(C#N)c(C(=O)NN3CCCCC3)nn2-c2ccc(Cl)cc2Cl)cc1,470.36,4.86,83.18,1.0,6.0,5.0,0
CC[C@H]1O[C@@H](/C(C)=C/[C@H](C)/C=C/[C@H]2[C@@H](C)[C@@H]2/C=C/[C@@H]2O[C@H](CC(=O)O)C[C@H](O)[C@H]2O)CC=C1C,474.64,4.43,96.22,3.0,5.0,9.0,0
Cn1cc(C2=C(c3coc4ccc(F)cc34)C(=O)NC2=O)c2cc3c(cc21)OCO3,404.35,3.36,82.7,1.0,6.0,2.0,0
O=C(NO)c1cccnc1,138.13,0.2,62.22,2.0,3.0,1.0,0
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,317.52,4.66,12.47,0.0,2.0,6.0,0
CN1CCC(OC2c3ccccc3CCc3ccccc32)CC1,307.44,3.99,12.47,0.0,2.0,2.0,0
CC[C@@H](Oc1cccc(-n2c(C)c(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc32)c1)C(=O)O,527.5,6.32,86.99,1.0,6.0,9.0,0
CCC[S+]([O-])c1ccc2[nH]c(NC(=O)OC)nc2c1,281.34,2.26,90.07,2.0,4.0,4.0,0
Cc1cn([C@H]2C=C[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,464.15,-0.36,223.91,5.0,10.0,8.0,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CCC[C@@H](N)C(=O)O)[C@H]2SC1,415.42,-1.13,176.33,4.0,8.0,9.0,0
Cc1c(N)cccc1Cn1ccc(OCCc2cccs2)cc1=O,340.45,3.47,57.25,1.0,5.0,6.0,0
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],334.57,6.06,9.23,0.0,1.0,15.0,0
Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12,366.47,2.9,78.66,3.0,5.0,6.0,0
O=C1c2c(O)cccc2C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,418.4,-0.89,167.91,7.0,9.0,3.0,0
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,863.36,17.85,52.6,0.0,4.0,31.0,0
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCNCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,685.07,5.53,145.94,6.0,8.0,20.0,0
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,627.98,5.55,133.91,5.0,7.0,16.0,0
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,330.51,6.77,37.3,1.0,1.0,15.0,0
CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C,536.89,12.94,0.0,0.0,0.0,16.0,0
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,278.44,5.66,37.3,1.0,1.0,13.0,0
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,306.49,6.44,37.3,1.0,1.0,15.0,0
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,276.29,0.19,99.13,1.0,7.0,8.0,0
CC(/C=C/C=C(\C)C(=O)O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O,328.41,4.61,74.6,2.0,2.0,8.0,0
C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21,248.32,2.76,38.83,0.0,3.0,0.0,0
C[C@H]1[C@H](N2CCS(=O)(=O)CC2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,401.53,1.92,74.3,0.0,7.0,1.0,0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.46,-0.54,156.44,3.0,10.0,7.0,0
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,362.36,0.51,78.25,1.0,7.0,2.0,0
Nc1nc2c(ncn2COCCOP(=O)(O)OP(=O)(O)OP(=O)(O)O)c(=O)[nH]1,465.15,-0.98,258.64,6.0,12.0,10.0,0
N[C@@H](Cc1ccc(OCC[18F])cc1)C(=O)O,227.24,0.99,72.55,2.0,3.0,6.0,0
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)O2)c(=O)n1,773.32,-2.87,390.27,9.0,21.0,14.0,0
CCOc1cc(C=O)ccc1O,166.18,1.6,46.53,1.0,3.0,3.0,0
Cc1cn([C@@H]2C[C@@H](O)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,482.17,-1.16,244.14,6.0,11.0,8.0,0
Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,534.58,-1.44,203.44,5.0,12.0,6.0,0
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,974.63,8.83,128.36,2.0,11.0,16.0,0
COc1cc2c(c(OC)c1OC)-c1ccc(O)cc1[C@@H](NC(C)=O)CC2,357.41,3.21,77.02,2.0,5.0,4.0,0
C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)[C@H](Br)C[C@@H]12,369.34,4.33,37.3,1.0,2.0,0.0,0
COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,469.55,4.95,98.26,2.0,7.0,9.0,0
N=C(N)n1cccn1,110.12,-0.38,67.69,2.0,3.0,0.0,0
O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1,288.31,0.51,82.17,2.0,5.0,6.0,0
C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)Cc2ccccc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCCN)C(=O)N1)C(N)=O,947.15,-0.47,325.98,12.0,13.0,16.0,0
CCCCCCCCCCCCOCCOCCOCCOCCO,362.55,3.97,57.15,1.0,5.0,22.0,0
COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1,368.39,4.09,100.13,3.0,6.0,4.0,0
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O,358.48,5.54,77.76,3.0,3.0,7.0,0
CCCCCc1cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c1,316.49,6.07,40.46,2.0,2.0,9.0,0
O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,382.25,2.45,98.91,4.0,4.0,4.0,0
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C(=O)O)C[C@@H]21,400.56,6.32,66.76,2.0,3.0,7.0,0
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,365.21,1.47,204.25,2.0,10.0,6.0,0
O=C(NC1CC1)c1cn(-c2cccc(C#Cc3ccc[n+]([O-])c3)c2)c2ncccc2c1=O,422.44,2.31,90.93,1.0,5.0,3.0,0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,402.53,4.07,88.51,1.0,4.0,4.0,0
COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1,404.47,3.12,75.52,1.0,6.0,4.0,0
CCCCOC(=O)c1ccc(O)cc1,194.23,2.35,46.53,1.0,3.0,4.0,0
OCCc1ccccc1,122.17,1.22,20.23,1.0,1.0,2.0,0
O=S(=O)(N[C@H](CO)C(C(F)(F)F)C(F)(F)F)c1ccc(Cl)s1,391.74,2.78,66.4,2.0,4.0,5.0,0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,280.31,0.87,107.2,2.0,6.0,4.0,0
Fc1ccc(-c2c3cccc(C(F)(F)F)c3nn2Cc2ccc(F)cc2Cl)cc1,422.78,6.7,17.82,0.0,2.0,3.0,0
CN1CCC(N(Cc2ccccc2)c2ccccc2)CC1,280.42,3.79,6.48,0.0,2.0,4.0,0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,294.34,1.18,107.2,2.0,6.0,4.0,0
Cc1cccc(C(=O)O)c1O,152.15,1.4,57.53,2.0,2.0,1.0,0
O=C(O)/C=C/C(=O)O,116.07,-0.29,74.6,2.0,2.0,2.0,0
CCOC(=O)n1ccn(C)c1=S,186.24,1.56,36.16,0.0,5.0,1.0,0
O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,527.62,5.21,48.83,1.0,5.0,6.0,0
CN1CCN(C(=S)Nc2ccc(Nc3ccc([N+](=O)[O-])cc3)cc2)CC1,371.47,3.28,73.68,2.0,5.0,4.0,0
Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2,277.41,2.61,41.49,2.0,3.0,6.0,0
CCCC(CCC)C(=O)NCC(N)=O,200.28,0.8,72.19,2.0,2.0,7.0,0
CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@H]1CC,600.48,8.2,59.08,0.0,4.0,5.0,0
COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,385.38,2.46,131.56,1.0,8.0,5.0,0
CC(CCc1ccc(O)cc1)NCC(O)c1ccc(O)cc1,301.39,2.74,72.72,4.0,4.0,7.0,0
C=C1[C@H](OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,503.19,-0.72,269.64,7.0,12.0,7.0,0
Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c(=O)[nH]c1=O,260.22,-1.57,104.55,3.0,6.0,2.0,0
C[C@@H](O[C@H]1CC[C@@H]2CN(C3=CC(=O)CC3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,555.53,7.68,29.54,0.0,3.0,5.0,0
COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,518.93,5.75,105.93,2.0,7.0,6.0,0
O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,430.95,5.1,91.83,3.0,7.0,6.0,0
Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,368.47,3.07,89.19,2.0,8.0,4.0,0
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,375.48,3.17,72.97,2.0,6.0,5.0,0
CC[C@@H](C)Nc1nc(C)nc2c(-c3ccc(OC)nc3C)c(C)nn12,340.43,3.33,77.23,1.0,7.0,5.0,0
CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,437.52,5.13,81.79,1.0,6.0,9.0,0
[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@@H](F)[C@@H]1O,286.22,-0.95,159.36,3.0,8.0,3.0,0
CCCN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccc(C)cc2)C1=O,369.49,3.56,54.45,0.0,3.0,5.0,0
O=P([O-])([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],177.97,-0.81,124.29,4.0,3.0,2.0,0
c1ccc2cc(COC3CCNCC3)ccc2c1,241.33,3.11,21.26,1.0,2.0,3.0,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@@H]1F,253.24,0.03,99.08,2.0,7.0,2.0,0
Br.COC(=O)C1=CCCN(C)C1,155.2,0.42,29.54,0.0,3.0,1.0,0
CCCCCCOC(C)c1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4)[C@@H](CCC(=O)O)[C@@H]3C,636.84,9.42,120.96,3.0,5.0,11.0,0
O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,190.25,0.56,34.03,1.0,3.0,0.0,0
CC(=O)Oc1c(OC(C)=O)c(C=O)c2c(OC(C)=O)c(-c3c(C)cc4c(C(C)C)c(OC(C)=O)c(OC(C)=O)c(C=O)c4c3OC(C)=O)c(C)cc2c1C(C)C,770.78,7.7,191.94,0.0,14.0,11.0,0
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,394.47,2.11,51.24,0.0,5.0,2.0,0
CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1,247.3,3.08,67.01,2.0,3.0,4.0,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,417.42,1.82,81.43,0.0,9.0,4.0,0
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12,294.4,3.16,36.36,1.0,3.0,3.0,0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,294.4,3.16,36.36,1.0,3.0,3.0,0
