MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
424.99,0.39,102.26,4.0,7.0,7.0,1
426.42,4.47,80.56,2.0,5.0,5.0,1
431.83,3.07,85.83,1.0,7.0,5.0,0
451.26,5.34,88.42,1.0,5.0,8.0,0
344.85,5.38,17.82,0.0,2.0,4.0,1
464.44,3.99,76.44,1.0,4.0,3.0,1
790.31,-4.19,404.45,10.0,21.0,14.0,1
425.49,1.58,137.14,3.0,10.0,5.0,0
159.23,1.08,63.32,2.0,2.0,5.0,1
454.45,0.27,210.54,5.0,10.0,9.0,1
406.61,4.87,77.76,3.0,3.0,4.0,0
227.24,2.43,41.61,0.0,3.0,1.0,1
234.34,2.75,32.34,1.0,2.0,6.0,0
414.41,0.12,161.39,5.0,8.0,2.0,0
404.93,4.75,60.44,0.0,4.0,2.0,1
343.55,4.33,69.56,3.0,3.0,17.0,0
359.71,4.53,38.33,1.0,2.0,2.0,0
223.3,1.94,29.54,0.0,2.0,2.0,1
151.21,1.07,46.25,2.0,2.0,2.0,1
276.38,1.96,45.33,1.0,3.0,3.0,1
530.46,5.19,82.88,1.0,8.0,9.0,1
214.05,3.25,33.12,1.0,2.0,0.0,1
663.08,7.12,73.12,2.0,3.0,4.0,0
604.7,3.54,114.46,0.0,12.0,16.0,0
195.19,0.94,30.49,1.0,3.0,0.0,0
374.45,3.39,96.84,3.0,4.0,3.0,1
297.29,1.23,87.85,1.0,6.0,5.0,0
367.88,2.09,76.82,2.0,5.0,6.0,1
584.69,0.32,225.22,7.0,8.0,17.0,0
430.42,0.76,178.62,2.0,8.0,9.0,0
173.26,1.39,43.7,2.0,3.0,0.0,0
257.08,3.9,58.93,1.0,2.0,2.0,0
276.29,0.19,99.13,1.0,7.0,8.0,0
345.41,-0.67,89.15,0.0,9.0,6.0,0
245.11,1.76,62.44,3.0,2.0,1.0,1
404.42,3.04,87.49,0.0,7.0,3.0,0
287.4,3.35,70.78,1.0,4.0,10.0,0
428.53,1.77,101.98,3.0,5.0,4.0,0
130.23,2.34,20.23,1.0,1.0,6.0,0
240.3,0.7,85.61,4.0,5.0,4.0,1
354.53,4.7,66.76,2.0,4.0,17.0,0
924.09,0.71,319.61,12.0,17.0,3.0,1
250.3,3.0,34.89,0.0,3.0,1.0,1
399.97,5.97,37.39,1.0,4.0,9.0,1
306.27,1.04,130.61,6.0,7.0,1.0,0
465.55,2.64,93.07,1.0,9.0,5.0,0
247.73,2.5,61.77,1.0,3.0,4.0,0
361.39,2.68,105.07,3.0,7.0,5.0,0
615.49,4.77,133.99,2.0,6.0,7.0,1
395.57,2.14,72.88,2.0,4.0,7.0,1
311.3,2.08,87.14,0.0,6.0,3.0,0
257.29,1.53,70.56,2.0,3.0,1.0,0
259.06,-0.28,72.68,1.0,5.0,0.0,0
583.5,1.17,182.21,2.0,11.0,8.0,1
504.6,3.82,106.97,1.0,7.0,6.0,1
328.45,1.67,67.79,2.0,4.0,10.0,0
308.77,4.05,46.5,1.0,3.0,3.0,0
136.11,0.06,74.69,2.0,4.0,0.0,1
508.65,0.91,177.71,6.0,6.0,9.0,1
153.18,0.38,66.48,3.0,3.0,2.0,0
493.59,4.02,110.26,2.0,6.0,5.0,1
277.5,5.3,12.03,1.0,1.0,4.0,1
305.4,4.17,67.01,2.0,4.0,3.0,0
291.27,0.63,101.97,1.0,8.0,2.0,0
746.74,6.24,173.92,0.0,12.0,11.0,0
427.42,0.67,191.26,6.0,6.0,9.0,1
581.75,2.67,135.13,2.0,10.0,6.0,0
391.56,5.97,39.19,0.0,3.0,2.0,1
329.37,3.33,39.72,1.0,4.0,4.0,1
131.13,-1.1,90.41,3.0,2.0,2.0,0
267.37,1.61,50.72,2.0,4.0,9.0,1
467.65,4.41,62.16,2.0,5.0,4.0,1
441.52,2.56,102.26,1.0,7.0,3.0,1
386.48,4.64,70.67,2.0,4.0,5.0,1
516.6,6.77,62.13,1.0,4.0,9.0,1
124.1,0.17,63.08,1.0,3.0,1.0,0
484.14,-2.5,264.37,7.0,12.0,8.0,0
216.28,1.94,33.62,1.0,3.0,4.0,0
463.5,5.91,78.63,2.0,6.0,9.0,1
239.24,-1.7,130.05,4.0,7.0,4.0,0
262.14,-1.09,144.32,5.0,4.0,5.0,0
127.17,0.61,26.94,1.0,2.0,0.0,1
873.09,5.38,170.06,3.0,14.0,8.0,0
325.45,3.77,43.7,2.0,3.0,5.0,0
259.35,2.78,60.17,2.0,4.0,6.0,1
336.41,2.56,69.67,0.0,5.0,5.0,0
350.48,2.04,49.85,0.0,4.0,2.0,0
291.44,4.88,3.24,0.0,1.0,4.0,1
325.45,2.4,57.61,2.0,4.0,5.0,0
564.33,1.65,194.16,7.0,5.0,13.0,0
238.2,0.94,100.98,1.0,5.0,3.0,0
154.16,0.63,60.69,3.0,3.0,2.0,0
470.02,3.55,55.53,0.0,7.0,10.0,1
342.3,-5.4,189.53,8.0,11.0,5.0,1
288.39,3.05,52.6,0.0,6.0,4.0,0
358.48,5.54,77.76,3.0,3.0,7.0,0
300.44,4.05,37.3,1.0,2.0,0.0,1
256.1,2.01,90.71,2.0,5.0,1.0,1
319.25,3.93,16.13,0.0,2.0,5.0,1
383.52,2.86,48.3,1.0,6.0,5.0,1
183.25,1.13,46.17,1.0,2.0,2.0,1
226.23,-0.31,95.5,3.0,4.0,4.0,1
284.75,3.15,32.67,0.0,2.0,1.0,1
513.01,3.98,65.86,0.0,5.0,5.0,0
496.58,3.76,100.9,2.0,6.0,4.0,1
496.59,3.49,81.17,2.0,7.0,8.0,0
377.43,-0.33,127.43,1.0,9.0,3.0,0
309.41,3.42,30.29,0.0,4.0,7.0,0
332.48,4.4,57.53,2.0,3.0,0.0,1
420.19,1.31,88.48,1.0,5.0,2.0,0
511.52,5.29,36.92,0.0,4.0,10.0,0
439.02,5.19,49.33,2.0,2.0,2.0,0
340.49,4.38,32.34,1.0,3.0,8.0,0
391.56,3.49,43.86,0.0,5.0,5.0,0
315.37,1.05,59.0,1.0,5.0,1.0,1
380.48,6.05,52.6,0.0,4.0,8.0,0
327.81,3.77,28.07,0.0,4.0,0.0,1
461.5,0.09,148.15,4.0,6.0,5.0,1
302.95,3.47,33.12,1.0,2.0,0.0,1
240.21,1.87,74.6,2.0,4.0,0.0,1
449.64,5.16,60.77,2.0,4.0,5.0,0
690.67,-0.54,264.3,4.0,16.0,8.0,1
416.51,2.33,93.06,2.0,6.0,2.0,1
303.29,1.77,64.43,0.0,5.0,2.0,1
340.46,4.37,43.37,0.0,3.0,0.0,1
258.27,3.0,52.6,0.0,4.0,2.0,0
223.28,2.68,41.61,0.0,3.0,1.0,0
301.39,2.96,72.72,4.0,4.0,7.0,1
560.49,5.35,95.09,2.0,8.0,8.0,1
545.63,2.58,123.99,2.0,10.0,9.0,1
338.99,6.49,0.0,0.0,0.0,13.0,0
475.36,4.43,62.74,1.0,5.0,5.0,1
250.28,0.86,97.97,2.0,5.0,3.0,1
205.25,-1.14,89.79,4.0,4.0,6.0,0
389.48,1.41,89.95,2.0,5.0,3.0,1
456.32,4.25,90.93,1.0,7.0,7.0,1
309.45,4.29,20.31,0.0,2.0,7.0,1
320.05,5.93,0.0,0.0,0.0,3.0,1
392.41,2.35,101.65,2.0,7.0,2.0,0
177.25,0.98,36.42,2.0,1.0,2.0,1
421.47,4.52,90.65,3.0,4.0,8.0,1
115.22,1.91,26.02,1.0,1.0,4.0,0
371.26,3.33,55.4,1.0,3.0,4.0,0
340.43,3.33,77.23,1.0,7.0,5.0,0
315.72,3.04,84.6,1.0,4.0,2.0,1
316.35,3.6,57.15,1.0,5.0,6.0,0
34.01,0.02,40.46,2.0,2.0,0.0,1
354.45,2.95,54.7,1.0,5.0,2.0,1
383.44,3.36,103.7,3.0,3.0,10.0,0
525.57,4.63,99.06,2.0,5.0,9.0,0
308.42,2.95,64.79,1.0,5.0,10.0,1
405.97,6.56,12.47,0.0,2.0,9.0,1
572.75,4.73,86.9,2.0,6.0,9.0,1
311.64,0.26,156.59,4.0,5.0,2.0,1
252.27,2.64,63.4,1.0,2.0,0.0,1
183.19,0.12,63.24,1.0,3.0,0.0,0
398.48,3.33,77.23,3.0,3.0,7.0,1
294.46,4.22,63.6,1.0,3.0,11.0,1
253.26,-0.9,130.31,4.0,8.0,5.0,1
444.66,8.92,34.14,0.0,2.0,11.0,0
384.52,4.43,52.6,0.0,4.0,2.0,1
256.33,2.61,35.53,0.0,4.0,8.0,1
444.58,4.49,75.79,2.0,4.0,9.0,0
371.83,2.3,99.6,2.0,6.0,2.0,0
284.48,6.33,37.3,1.0,1.0,16.0,0
478.89,0.44,181.62,6.0,9.0,2.0,1
873.09,4.04,210.52,5.0,15.0,11.0,0
306.37,3.47,83.18,1.0,5.0,4.0,1
317.2,3.28,58.53,1.0,3.0,1.0,0
663.41,6.42,108.33,3.0,8.0,22.0,1
457.48,0.19,164.63,5.0,9.0,3.0,1
388.46,2.58,69.26,1.0,6.0,10.0,1
258.4,4.94,20.23,1.0,1.0,1.0,0
313.29,2.55,75.81,0.0,4.0,2.0,1
165.24,1.33,32.26,2.0,2.0,3.0,0
336.37,3.1,40.8,0.0,4.0,2.0,1
580.47,3.09,186.72,4.0,12.0,10.0,1
604.53,5.27,104.69,3.0,5.0,11.0,0
592.69,-5.36,269.29,11.0,15.0,13.0,1
238.29,3.12,44.89,2.0,1.0,1.0,0
136.2,0.84,24.92,1.0,2.0,3.0,0
244.29,2.67,44.12,0.0,4.0,4.0,0
527.53,1.03,185.84,5.0,11.0,4.0,1
298.43,3.64,37.3,1.0,2.0,0.0,1
641.02,4.89,66.4,2.0,2.0,7.0,1
260.38,2.85,32.34,1.0,2.0,7.0,1
575.69,5.7,115.73,2.0,7.0,8.0,1
444.52,3.47,74.6,2.0,5.0,2.0,0
399.63,5.04,9.72,0.0,5.0,6.0,1
124.14,1.4,29.46,1.0,2.0,1.0,1
469.95,5.16,79.38,2.0,6.0,7.0,1
437.58,4.78,59.49,1.0,5.0,8.0,0
381.44,6.19,3.24,0.0,1.0,4.0,0
195.69,2.59,12.03,1.0,1.0,0.0,1
405.97,6.22,12.47,0.0,2.0,9.0,1
401.85,3.3,94.14,3.0,6.0,2.0,0
947.0,1.55,370.07,12.0,13.0,35.0,1
314.13,2.09,26.93,0.0,3.0,1.0,0
603.72,5.02,117.15,0.0,9.0,15.0,0
345.41,4.15,73.91,2.0,4.0,3.0,0
321.49,3.72,49.33,2.0,3.0,2.0,0
85.15,0.76,12.03,1.0,1.0,0.0,0
372.53,3.88,49.41,1.0,3.0,7.0,0
441.46,3.15,89.05,1.0,7.0,5.0,0
271.4,3.38,12.47,0.0,2.0,1.0,1
256.33,3.71,45.15,2.0,4.0,2.0,0
536.65,5.01,69.7,0.0,8.0,11.0,0
278.78,4.5,37.3,1.0,1.0,2.0,0
339.39,-0.24,103.29,4.0,6.0,8.0,0
515.54,-2.49,184.11,2.0,13.0,7.0,0
380.36,2.63,88.49,2.0,6.0,2.0,1
441.55,4.37,84.86,2.0,6.0,5.0,1
364.38,4.24,86.99,3.0,3.0,6.0,0
151.25,1.91,26.02,1.0,1.0,0.0,1
359.4,2.32,65.78,1.0,5.0,4.0,0
549.7,6.83,36.02,0.0,6.0,12.0,1
406.57,5.67,43.37,0.0,3.0,4.0,1
199.64,0.42,68.01,2.0,3.0,3.0,0
645.68,-1.11,220.26,4.0,13.0,9.0,1
241.29,3.75,49.33,2.0,2.0,3.0,1
142.2,-0.2,54.37,2.0,3.0,2.0,1
331.47,1.32,83.33,2.0,8.0,10.0,1
401.49,1.22,86.71,0.0,7.0,6.0,0
461.5,0.09,148.15,4.0,6.0,5.0,1
456.61,5.31,46.53,1.0,3.0,7.0,0
679.78,-2.4,327.67,11.0,10.0,22.0,0
215.26,0.94,54.24,2.0,5.0,1.0,0
555.82,5.98,122.72,2.0,7.0,8.0,0
236.3,0.81,79.51,3.0,3.0,3.0,0
266.34,0.45,84.58,3.0,4.0,8.0,0
370.34,1.4,106.26,1.0,8.0,4.0,0
365.55,5.7,7.12,0.0,3.0,4.0,0
181.32,3.05,3.24,0.0,1.0,2.0,0
239.27,0.02,56.59,0.0,6.0,3.0,0
102.09,0.54,35.53,0.0,3.0,0.0,0
407.48,4.24,89.07,2.0,5.0,3.0,0
408.52,2.34,99.88,2.0,6.0,11.0,1
315.59,5.29,41.13,2.0,1.0,2.0,0
119.38,1.99,0.0,0.0,0.0,0.0,1
296.15,4.36,49.33,2.0,2.0,4.0,1
190.16,-1.03,129.72,4.0,3.0,5.0,1
384.5,5.16,63.6,1.0,4.0,7.0,1
231.25,-0.82,43.17,0.0,5.0,3.0,0
562.57,5.7,108.76,3.0,6.0,9.0,1
215.34,3.18,12.03,1.0,1.0,3.0,0
273.72,4.16,53.09,2.0,1.0,2.0,1
493.59,1.08,158.74,4.0,10.0,7.0,0
317.52,4.66,12.47,0.0,2.0,6.0,0
585.61,-8.42,331.94,13.0,17.0,10.0,1
428.53,3.24,60.47,0.0,6.0,11.0,0
495.03,4.6,80.67,1.0,5.0,3.0,1
303.36,1.87,55.84,0.0,5.0,3.0,1
122.19,-0.3,40.46,2.0,3.0,4.0,0
180.17,-1.04,72.68,1.0,5.0,0.0,1
300.83,3.92,16.13,0.0,2.0,3.0,0
319.34,1.27,74.57,2.0,5.0,3.0,1
352.48,4.36,41.57,1.0,3.0,6.0,1
261.28,1.33,62.91,1.0,5.0,2.0,0
238.29,2.88,53.6,2.0,3.0,3.0,0
268.27,-1.18,112.13,4.0,8.0,2.0,1
133.12,-0.1,63.32,2.0,2.0,1.0,1
409.43,4.89,60.77,2.0,3.0,6.0,1
398.4,3.7,141.31,3.0,7.0,6.0,1
431.39,3.32,94.8,0.0,8.0,2.0,0
179.22,2.04,38.33,1.0,2.0,3.0,1
427.42,4.34,38.82,1.0,3.0,5.0,1
297.31,3.1,76.5,2.0,6.0,4.0,0
298.51,6.42,26.3,0.0,2.0,15.0,0
367.45,3.58,61.88,1.0,4.0,4.0,0
411.5,3.84,92.7,2.0,4.0,11.0,1
32.0,0.07,34.14,0.0,2.0,0.0,1
472.75,9.06,35.53,0.0,3.0,13.0,1
277.26,-1.36,130.24,2.0,5.0,3.0,1
182.17,-3.59,121.38,6.0,6.0,5.0,1
244.28,0.62,82.22,1.0,6.0,4.0,0
347.22,-1.86,186.07,5.0,10.0,4.0,1
287.4,3.36,29.54,0.0,3.0,5.0,0
172.21,-0.08,86.18,2.0,3.0,1.0,1
88.06,-0.34,54.37,1.0,2.0,1.0,0
287.82,1.65,44.29,1.0,6.0,3.0,0
302.24,2.91,139.78,4.0,6.0,4.0,1
180.17,-1.04,72.68,1.0,5.0,0.0,0
296.44,4.39,6.48,0.0,3.0,3.0,0
169.18,1.45,60.96,0.0,4.0,2.0,0
440.51,4.22,99.16,1.0,7.0,5.0,1
185.63,2.24,32.86,1.0,2.0,0.0,0
327.81,3.77,28.07,0.0,4.0,0.0,1
278.3,-2.34,127.2,2.0,8.0,7.0,1
218.26,1.17,59.06,1.0,3.0,2.0,0
327.38,1.3,70.0,2.0,5.0,2.0,1
284.41,2.5,19.14,0.0,3.0,1.0,1
371.37,1.09,104.45,3.0,6.0,5.0,0
349.32,2.18,76.72,1.0,6.0,5.0,1
352.48,4.36,41.57,1.0,3.0,6.0,1
289.3,1.15,109.86,2.0,6.0,5.0,0
432.56,3.13,100.9,2.0,6.0,5.0,1
306.75,2.99,87.14,3.0,5.0,5.0,0
204.3,2.15,15.6,0.0,3.0,1.0,0
334.73,2.6,49.41,1.0,2.0,3.0,0
255.32,1.53,85.08,2.0,5.0,3.0,1
334.51,5.06,27.03,0.0,2.0,9.0,0
199.3,0.7,26.79,0.0,2.0,2.0,1
329.37,3.33,39.72,1.0,4.0,4.0,1
327.42,2.8,63.93,3.0,4.0,4.0,0
212.3,2.41,24.39,1.0,2.0,2.0,0
242.27,3.67,46.53,1.0,2.0,4.0,1
160.18,1.23,45.75,1.0,2.0,0.0,0
452.6,5.48,53.33,0.0,4.0,8.0,1
507.62,3.77,139.36,3.0,8.0,18.0,1
276.77,3.56,41.05,1.0,4.0,3.0,0
343.21,5.31,41.99,1.0,2.0,3.0,0
234.39,2.35,6.48,0.0,2.0,0.0,1
349.14,-1.49,124.78,4.0,7.0,3.0,1
317.43,3.24,38.77,0.0,4.0,4.0,1
371.87,4.21,82.33,2.0,4.0,9.0,0
353.49,5.6,7.12,0.0,1.0,4.0,0
624.61,3.66,185.1,2.0,10.0,11.0,0
247.43,4.67,12.03,1.0,1.0,7.0,0
583.6,-7.95,334.59,15.0,15.0,9.0,1
373.95,4.58,9.72,0.0,4.0,4.0,1
302.37,2.38,78.9,0.0,6.0,11.0,0
332.31,3.67,75.99,2.0,5.0,0.0,1
396.47,3.09,77.23,3.0,3.0,5.0,0
180.16,1.31,63.6,1.0,3.0,2.0,0
413.56,5.73,32.7,1.0,3.0,6.0,1
368.84,3.72,53.35,0.0,5.0,7.0,1
410.92,6.07,54.37,1.0,3.0,8.0,0
375.41,4.9,95.83,4.0,3.0,3.0,0
348.36,-1.31,127.96,2.0,8.0,3.0,0
386.45,2.38,100.05,4.0,6.0,7.0,1
947.17,-0.03,298.14,12.0,18.0,12.0,0
